Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,18.528114910822328,30.545811883573684,inf,933.0466236266712,30,30,15
15,13.654765963659518,26.58754443926461,inf,706.8975193098705,30,30,15
30,12.393341416863024,15.026959419867646,inf,225.809509406349,30,30,15
45,9.838986280369028,11.720390089271346,inf,137.36754384469,30,30,15
60,13.159714226494058,17.817821332402655,inf,317.47475703342315,30,30,15
75,22.260294163300387,31.077197149416673,inf,965.7921826637117,30,30,15
90,10.18792065750195,20.143959938792953,inf,405.7791220156954,30,30,15
105,7.306029728900489,9.370265380774281,inf,87.80187330613698,30,30,15
120,33.90231071577409,53.2627586236948,inf,2836.9214562059747,30,30,15
135,80.55568173256596,90.24592635632533,inf,8144.327223911294,30,30,15
150,15.470907959816783,20.497063141668946,inf,420.1295974335636,30,30,15
165,15.274665886808485,21.047069360304175,inf,442.9791286574548,30,30,15
180,17.007193457459397,23.461487086387883,inf,550.4413763047454,30,30,15
195,7.8753297609278645,9.483378163281378,inf,89.93446138780209,30,30,15
210,10.40894635057675,20.704313676458945,inf,428.668604813205,30,30,15
225,9.899213627665711,19.801593550684807,inf,392.10310714652206,30,30,15
240,10.372775478477928,15.486975098376803,inf,239.84639769774316,30,30,15
255,9.488821198537272,11.981805460561601,inf,143.5636620947438,30,30,15
270,11.846935359621131,22.779089086031927,inf,518.8868995893788,30,30,15
285,15.993302826962134,32.09127352411784,inf,1029.8498363997467,30,30,15
300,16.572199238390514,32.214875589897346,inf,1037.7982092725638,30,30,15
315,16.937233222885883,30.872538259229188,inf,953.1136185675699,30,30,15
330,17.320542822265566,22.914109925774405,inf,525.0564336904731,30,30,15
345,10.849122118842512,13.510543984915879,inf,182.53479876834663,30,30,15
