Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,87.09264945983887,92.43684233415054,inf,8544.569820708606,30,30,5
5,80.48398297627767,86.90175081102205,,7551.914294020973,30,30,5
10,44.24361661275228,53.28120371042039,,2838.886668831316,30,30,5
15,77.2470162709554,83.46024505293241,,6965.612504295529,30,30,5
20,79.33565101623535,84.8213794680476,inf,7194.666414862526,30,30,5
25,61.09685045878093,70.29409080253512,,4941.259201755052,30,30,5
30,55.22881685892741,64.2057848870773,,4122.382812965644,30,30,5
35,75.30881665547689,80.42433344995803,inf,6468.073410870038,30,30,5
40,73.38764991760254,78.8729877118144,inf,6220.948190588027,30,30,5
45,39.08728345235189,47.17926877795952,,2225.883402422946,30,30,5
50,69.43624966939291,75.39273573415353,,5684.064601479911,30,30,5
55,69.73751742045084,75.9380254343051,inf,5766.583706861168,30,30,5
60,48.870517349243165,59.64000226703577,,3556.9298704120315,30,30,5
65,43.60315081278483,53.91980201645172,,2907.345049493351,30,30,5
70,64.20381711324056,69.44740580808269,inf,4822.942173472518,30,30,5
75,60.49938367207845,66.28069115745528,inf,4393.130020309971,30,30,5
80,24.541450119018556,32.15663420157028,,1034.0491231735994,30,30,5
85,52.125916163126625,60.427915758150036,,3651.5330028740773,30,30,5
90,55.82384986877442,62.896313738186436,,3955.94628185238,30,30,5
95,40.53828290303548,50.24905641607863,,2524.9676707062526,30,30,5
100,35.38594983418783,45.54137743546529,,2074.017058719507,30,30,5
105,57.765816116333006,64.08853027180993,inf,4107.339712400698,30,30,5
110,50.36898307800293,58.711419031082904,,3447.030724643404,30,30,5
115,21.23458340962728,29.67949645441927,,880.8725097878859,30,30,5
120,52.73595008850098,59.87686235258646,,3585.238645190585,30,30,5
125,57.005116907755536,62.9260131716907,inf,3959.683133683791,30,30,5
130,27.618183517456053,37.160868331244124,,1380.9301351320623,30,30,5
135,37.34465014139811,47.61683312829667,,2267.362797168051,30,30,5
140,62.250183232625325,67.52920854815757,inf,4560.194007140557,30,30,5
145,56.64498354593913,63.4486991116618,,4025.737418962193,30,30,5
150,27.765516789754233,34.781352769967754,,1209.7425005089437,30,30,5
155,59.98724988301595,66.73833624516578,,4454.00552477281,30,30,5
160,63.60951703389485,69.74982492760036,inf,4865.038077430901,30,30,5
165,41.81785036722819,51.40781020737658,,2642.7629503176513,30,30,5
170,41.65761731465658,50.972578665599734,,2598.2037758207534,30,30,5
175,63.61921679178874,68.8339359455069,inf,4738.110737750146,30,30,5
180,55.56898358662923,62.94221875659497,,3961.7229020030554,30,30,5
185,24.70085004170736,31.86455886047997,,1015.3501113729926,30,30,5
190,56.37091636657715,63.37627362276252,,4016.5520583072644,30,30,5
195,59.95785001118978,65.96178570302274,inf,4350.9571731314945,30,30,5
200,42.19751625061035,51.35317364103181,,2637.148443005964,30,30,5
205,39.08214988708496,48.476519631915075,,2349.972955623448,30,30,5
210,65.49641609191895,70.54931638010497,inf,4977.206041700148,30,30,5
215,63.60534985860189,69.20651682717039,inf,4789.541971349418,30,30,5
220,29.188549677530926,36.5018867026219,,1332.387732851046,30,30,5
225,57.36358299255371,64.97924311251671,,4222.302035475551,30,30,5
230,66.31785011291504,71.27089273057302,inf,5079.540150612846,30,30,5
235,48.00181668599446,56.81376288699844,,3227.8036533800814,30,30,5
240,43.671150588989256,52.9736407415799,,2806.2066134179736,30,30,5
245,68.3211503346761,73.62553354368916,inf,5420.719189592897,30,30,5
250,68.09198366800943,73.07295152668894,inf,5339.656244821832,30,30,5
255,34.455950546264646,41.77768345243779,,1745.3748346520943,30,30,5
260,68.16455039978027,74.53903680332586,,5556.068007567567,30,30,5
265,74.46835085550944,79.51035919960681,inf,6321.8972200505,30,30,5
270,54.142517217000325,62.97676408078755,,3966.0728140871724,30,30,5
275,55.82935040791829,64.99370520234896,,4224.1817159298425,30,30,5
280,79.60941683451334,84.46398389694625,inf,7134.164575743594,30,30,5
285,71.73065020243327,79.00197695391486,,6241.312362626895,30,30,5
290,46.54131660461426,55.65660295682756,,3097.6574526939467,30,30,5
295,78.20358289082846,84.43749703073291,,7129.690904815029,30,30,5
300,78.54418347676595,84.78960970653347,,7189.277914186276,30,30,5
305,61.801216506958006,71.11739785791247,,5057.684278080613,30,30,5
310,62.26151644388835,71.8452640866054,,5161.741971674071,30,30,5
315,84.89648323059082,90.08496508689319,inf,8115.300934706766,30,30,5
320,80.17765057881674,86.51201072754344,,7484.32800012259,30,30,5
325,49.682650629679365,59.41169040731584,,3529.7489570547446,30,30,5
330,81.58791720072428,87.98840560090885,,7741.9595201900465,30,30,5
335,86.64851799011231,91.76515488262363,inf,8420.843650631903,30,30,5
340,69.89418500264486,79.19018074747231,,6271.084726817334,30,30,5
345,65.99148470560709,75.82752076394782,,5749.812905206937,30,30,5
350,88.1841505686442,93.3384268783622,inf,8712.061932127366,30,30,5
