Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,33.23298710030837,42.24894131791158,inf,1784.9730424843365,30,35,10
10,22.37891093820186,31.87714695436476,inf,1016.1524979501665,30,35,10
20,11.162451648278621,23.249241205251476,inf,540.527216619963,30,35,10
30,15.43436605676618,22.868003698057617,inf,522.9455931343768,30,35,10
40,19.448716913450568,21.525950765709023,inf,463.36655636772883,30,35,10
50,10.365065931595044,17.880687860862405,inf,319.7189983775922,30,35,10
60,8.601693308785649,10.216528802356258,inf,104.37746076937499,30,35,10
70,15.03096463303183,24.53545803637014,inf,601.9887010544801,30,35,10
80,16.539904367362617,24.313874387252206,inf,591.1644877190788,30,35,10
90,20.412006181643488,24.454123370543076,inf,598.0041498217411,30,35,10
100,8.275312811627932,17.701741506666263,inf,313.35165236883114,30,35,10
110,11.985113923461427,23.909954898169755,inf,571.6859432325118,30,35,10
120,15.738203764717413,26.66905836492805,inf,711.2386740719387,30,35,10
130,15.447506461805268,29.75261365566498,inf,885.2180193432623,30,35,10
140,27.38198568052142,32.83611101391679,inf,1078.2101865182676,30,35,10
150,24.64388488092797,29.604957095710347,inf,876.4534846388503,30,35,10
160,19.65135611106155,28.90401427247488,inf,835.4420410634315,30,35,10
170,18.88494422099103,32.82060732754135,inf,1077.1922653486613,30,35,10
180,25.837571877790076,30.87759352510773,inf,953.4257819017748,30,35,10
190,6.501062962470217,17.024696005717146,inf,289.84027408708135,30,35,10
200,18.394593092763746,24.448281759411337,inf,597.7184809875652,30,35,10
210,9.264150920336466,20.632111640244084,inf,425.6840307354954,30,35,10
220,18.35339533737892,25.49360269709823,inf,649.923778477494,30,35,10
230,8.73933354965748,18.646350498474394,inf,347.6863869119563,30,35,10
240,14.940847535999676,20.304058443797622,inf,412.2547892891495,30,35,10
250,20.46309765310103,27.145661436837923,inf,736.8869348434296,30,35,10
260,13.686218768031676,26.25117465961063,inf,689.1241710093832,30,35,10
270,11.83899806951064,20.861689389014177,inf,435.21008416370677,30,35,10
280,13.169772337006732,28.734010819545652,inf,825.6433777777667,30,35,10
290,31.140975362981596,36.01480224263661,inf,1297.0659805762232,30,35,10
300,19.60722154147324,36.78062825241693,inf,1352.8146146424904,30,35,10
310,22.834564657474143,37.902255992743896,inf,1436.5810093394905,30,35,10
320,21.90136645044107,33.83696766944088,inf,1144.9403810627873,30,35,10
330,11.422659655414327,22.994150792221525,inf,528.7309706554219,30,35,10
340,29.77407424194878,32.36823403975542,inf,1047.7025748523818,30,35,10
