Iterations,MAE,RMSE,MAPE,MSE,input_window_size,horizon,stride
0,17.363266299877846,30.718949418024703,inf,943.6538533471602,45,35,5
5,16.79154312653201,28.403096057655326,inf,806.7358656603955,45,35,5
10,15.317441210203937,21.9888421508833,inf,483.5091791364622,45,35,5
15,20.6311558761767,28.27895917496789,inf,799.6995320195007,45,35,5
20,16.855689274838994,21.70613093345386,inf,471.1561201002425,45,35,5
25,12.104910375071423,18.877572218828682,inf,356.3627328770924,45,35,5
30,9.356573364564351,16.146779737653336,inf,260.7184958962924,45,35,5
35,8.888358271547725,15.21881131919254,inf,231.61221796918295,45,35,5
40,11.169161216169595,16.81182949673224,inf,282.6376110271962,45,35,5
45,10.441094902636749,14.9129953020682,inf,222.39742887950823,45,35,5
50,13.06514070204326,20.369224371520122,inf,414.9053014973293,45,35,5
55,17.16485514438578,27.075140336371284,inf,733.0632242341993,45,35,5
60,17.16460064308984,25.783884132339722,inf,664.8086809499201,45,35,5
65,16.433425161987543,23.351449391408448,inf,545.2901886795099,45,35,5
70,10.59506470475878,20.382402934793717,inf,415.4423493962875,45,35,5
75,9.296905764624745,17.50235745425912,inf,306.3325164566598,45,35,5
80,9.444563653639387,16.291538006835598,inf,265.41421062816886,45,35,5
85,11.45088603858437,20.673772844649857,inf,427.4048836321818,45,35,5
90,7.995687765734536,17.237703744199504,inf,297.13843037278957,45,35,5
95,10.238013990862031,22.46659682617069,inf,504.7479729497029,45,35,5
100,10.98296849748918,22.484998326718056,inf,505.57514975251377,45,35,5
105,10.152933560524666,22.51827752092929,inf,507.0728225095893,45,35,5
110,12.605216565914452,27.441249920787932,inf,753.0221972151437,45,35,5
115,13.006581294536591,26.002635542275886,inf,676.1370551444292,45,35,5
120,13.259796907007694,27.092645805932978,inf,734.0114567657379,45,35,5
125,15.558694391591208,25.117846057753805,inf,630.9061905810184,45,35,5
130,23.925265810904758,38.59130184381562,inf,1489.288578000487,45,35,5
135,13.282194340229033,19.89972463509719,inf,395.999040552694,45,35,5
140,9.386107804306913,18.69799227325344,inf,349.6149150506453,45,35,5
145,10.159896050606456,18.290481987326498,inf,334.54173132871506,45,35,5
150,9.012502472741263,18.466644336998673,inf,341.01695306920516,45,35,5
155,7.126949746268133,17.68404024374831,inf,312.7252793425098,45,35,5
160,9.670067517193301,19.57542777353936,inf,383.1973725170562,45,35,5
165,6.451612146411623,17.797453779452884,inf,316.7493610317617,45,35,5
170,5.394019842999324,16.09860088951859,inf,259.16495060000875,45,35,5
175,6.342861932250007,17.045207088995276,inf,290.53908470673485,45,35,5
180,4.522738669599805,6.754465920411077,inf,45.62280986999466,45,35,5
185,4.484280976653101,7.162929823516936,inf,51.30756365662835,45,35,5
190,6.783604121633939,19.064103127411588,inf,363.44002805258435,45,35,5
195,9.63753614851407,20.31694015002392,inf,412.77805705965403,45,35,5
200,7.975048299346652,17.271425126856077,inf,298.3021259125954,45,35,5
205,8.85420322247914,20.0478287109824,inf,401.91543602489025,45,35,5
210,9.778000653269038,18.38859258151876,inf,338.14033712908684,45,35,5
215,9.633738073866283,19.652828080688323,inf,386.23365156909153,45,35,5
220,8.737810322003705,19.99917891121167,inf,399.9671571226535,45,35,5
225,5.3751855756555305,7.591176545161876,inf,57.625961339815795,45,35,5
230,9.01289563909439,12.733182201375701,inf,162.13392897343095,45,35,5
235,8.214917434539114,11.459860389467021,inf,131.32840014607524,45,35,5
240,11.95773915999702,20.101967637144597,inf,404.0891028848087,45,35,5
245,14.683567065639155,22.42062798333605,inf,502.6845591671515,45,35,5
250,14.907522061892918,23.246847702383747,inf,540.4159280978245,45,35,5
255,17.055608496069908,26.77961697201374,inf,717.1478851677665,45,35,5
260,17.477180795584406,27.0052768502243,inf,729.2849777572603,45,35,5
265,13.132837995780365,26.201697262995857,inf,686.5289394616846,45,35,5
270,12.71383476087025,25.14717079621391,inf,632.3801990539538,45,35,5
275,11.40158073795693,20.33429030444144,inf,413.4833621853011,45,35,5
280,14.246034551944053,29.111724469519967,inf,847.4925015892476,45,35,5
285,16.292776591756514,34.297097513242996,inf,1176.2908978328987,45,35,5
290,14.9875464496868,33.40082485448471,inf,1115.6151009599637,45,35,5
295,17.193481911505973,34.00678972934118,inf,1156.4617476956246,45,35,5
300,16.24092925957271,29.552815807633806,inf,873.3689221599305,45,35,5
305,17.524929617172372,30.572914022664957,inf,934.7030718372635,45,35,5
310,14.357021986373834,27.576736435673688,inf,760.4763924426127,45,35,5
315,16.217832386493683,31.118534602734638,inf,968.363195821593,45,35,5
320,15.155962407695396,27.1833439822303,inf,738.9341900562563,45,35,5
325,15.755081495429788,24.133115071973236,inf,582.4072430771017,45,35,5
330,10.903794597515038,15.218527847772274,inf,231.60358985342017,45,35,5
